DATAFLOW,MEASURE: Measure,INDEX: Index,HOUSHOLD_TYPE: Household Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,BASE_PERIOD: Reference Base Period,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,1998-Q2,65.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,1998-Q3,65.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,1998-Q4,65.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,1999-Q1,65.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,1999-Q2,65.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,1999-Q3,66.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,1999-Q4,66.7,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2000-Q1,67.4,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2000-Q2,68.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2000-Q3,70.6,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2000-Q4,71,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2001-Q1,71.8,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2001-Q2,72,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2001-Q3,72.1,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2001-Q4,72.5,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2002-Q1,73.2,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2002-Q2,73.6,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2002-Q3,74.4,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2002-Q4,74.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2003-Q1,75.9,IN: Index Numbers,,,
ABS:LCI(1.0.0),1: Index Number,10001: All groups,P1: Employee households,50: Weighted average of eight capital cities,Q: Quarterly,2003-Q2,75.8,IN: Index Numbers,,,
