Australian Bureau of Statistics

"2021 Census - counting persons, place of usual residence"
"SA2 (UR) by AGE5P Age in Five Year Groups"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"AGE5P Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"SA2 (UR)",
"Braidwood",207,254,229,173,122,172,192,246,202,291,351,353,435,338,302,249,124,59,21,8,0,4343,
"Karabar",526,530,566,490,515,629,637,588,546,556,594,580,513,429,325,227,160,69,19,10,0,8517,
"Queanbeyan",669,587,482,433,689,1130,1238,903,740,705,690,674,587,509,418,286,266,206,107,29,4,11342,
"Queanbeyan - East",319,252,212,184,343,555,539,435,317,292,369,323,296,216,168,126,72,39,17,3,0,5085,
"Queanbeyan West - Jerrabomberra",835,914,971,927,746,646,837,926,878,1040,1131,1006,663,452,366,196,129,61,16,4,0,12744,
"Googong",838,620,422,265,228,502,801,786,561,392,308,182,108,100,63,33,19,6,0,0,0,6224,
"Queanbeyan Surrounds",915,1052,1240,1038,816,712,916,1020,1061,1289,1402,1350,1206,947,804,441,219,70,32,3,0,16539,
"Bombala",103,159,150,117,102,124,115,140,109,128,165,175,215,207,178,122,79,42,19,9,0,2454,
"Cooma",388,355,364,324,326,407,456,452,366,381,444,469,478,365,399,308,237,156,60,32,0,6761,
"Cooma Surrounds",138,177,225,180,135,140,146,158,157,262,292,307,327,264,212,170,108,44,17,0,0,3472,
"Jindabyne - Berridale",310,408,577,528,554,749,579,466,471,608,590,547,525,391,346,184,107,55,31,6,0,8035,
"Batemans Bay",394,430,513,425,327,362,391,372,410,461,534,581,740,729,752,498,330,192,102,25,0,8581,
"Batemans Bay - South",360,383,482,417,307,357,344,380,383,531,548,634,798,840,857,613,360,220,91,32,0,8938,
"Bega - Tathra",432,537,594,461,380,425,421,500,472,507,562,666,746,638,538,432,274,175,80,34,4,8872,
"Bega-Eden Hinterland",419,515,557,515,340,351,426,450,441,555,705,924,1075,944,694,338,181,85,34,4,0,9557,
"Broulee - Tomakin",154,184,237,197,119,139,156,194,181,211,239,284,323,353,300,192,161,98,43,21,0,3792,
"Deua - Wadbilliga",0,0,0,0,0,0,0,0,0,3,6,11,0,13,4,3,0,0,0,0,0,43,
"Eden",154,198,187,162,127,119,141,156,132,203,204,243,302,319,315,188,143,77,45,17,0,3425,
"Eurobodalla Hinterland",140,149,175,186,140,143,129,140,180,205,278,360,330,334,333,179,89,28,14,0,0,3525,
"Merimbula - Tura Beach",411,506,601,531,386,463,505,496,501,633,733,814,1062,1085,1064,737,513,265,132,52,4,11513,
"Moruya - Tuross Head",312,357,439,375,287,312,332,380,342,466,542,725,941,928,765,506,322,175,90,12,0,8600,
"Narooma - Bermagui",390,402,465,400,231,318,376,399,393,438,574,712,1036,1218,1045,664,389,252,148,41,4,9888,
"Goulburn",1454,1534,1506,1294,1414,1669,1718,1536,1351,1428,1474,1578,1456,1422,1301,1014,676,415,259,54,4,24565,
"Goulburn Surrounds",713,746,821,823,529,572,638,708,730,901,978,1204,1216,1024,972,582,363,212,77,13,0,13839,
"Yass",380,446,482,378,329,341,398,432,409,411,465,394,424,379,388,262,185,130,92,16,3,6763,
"Yass Surrounds",685,919,940,859,543,492,580,750,844,1081,1086,942,865,758,620,398,230,90,39,5,0,12713,
"Young",685,742,809,709,533,571,597,621,615,620,608,705,683,634,697,465,360,203,109,28,0,11004,
"Young Surrounds",421,445,460,385,311,375,365,323,360,418,556,628,632,587,594,410,232,107,54,10,0,7677,
"Avoca Beach - Copacabana",407,512,614,553,383,223,292,406,533,568,610,571,526,480,383,234,149,51,24,10,0,7513,
"Box Head - MacMasters Beach",494,655,691,591,462,340,411,525,648,746,748,792,899,880,940,612,344,169,70,18,0,11042,
"Calga - Kulnura",184,221,255,275,272,218,201,283,247,320,438,415,402,332,266,208,103,54,13,5,0,4716,
"Erina - Green Point",653,802,871,847,647,488,570,753,759,854,889,907,938,939,1061,993,777,531,358,101,22,14758,
"Gosford - Springfield",1143,1037,1062,1059,1454,1817,1729,1504,1329,1320,1247,1367,1287,1180,959,684,478,310,173,65,3,21204,
"Kariong",414,499,505,519,403,405,351,436,502,482,479,438,368,246,168,103,89,52,10,4,0,6485,
"Kincumber - Picketts Valley",413,422,489,416,338,305,410,394,397,414,415,423,461,453,476,463,392,290,201,31,5,7615,
"Narara",457,507,528,439,369,416,444,510,491,506,485,463,461,380,322,203,93,51,19,0,0,7157,
"Niagara Park - Lisarow",450,574,642,589,453,389,488,506,549,584,577,580,503,398,352,211,163,92,69,27,3,8205,
"Point Clare - Koolewong",350,409,379,357,297,239,347,413,397,490,433,480,445,344,372,316,252,132,89,27,6,6571,
"Saratoga - Davistown",357,467,475,424,329,310,359,408,433,463,488,493,508,435,423,336,235,139,72,9,0,7160,
"Terrigal - North Avoca",749,947,1013,953,765,741,717,901,946,1037,1039,964,1018,959,894,626,337,185,57,8,4,14849,
"Umina - Booker Bay - Patonga",1338,1424,1303,1132,1132,1032,1189,1487,1511,1514,1566,1679,1734,1695,1802,1381,908,527,242,88,18,24697,
"Wamberal - Forresters Beach",583,730,843,730,540,441,497,675,694,767,730,651,672,628,580,407,287,142,61,15,0,10675,
"Woy Woy - Blackwall",736,752,690,675,668,705,842,797,866,882,945,968,1026,941,928,788,538,325,204,66,0,14346,
"Wyoming",680,698,759,654,578,619,792,741,689,684,611,642,629,587,642,529,371,294,154,49,9,11423,
