Albury,10967
Armidale Regional,5517
Ballina,12524
Balranald,453
Bathurst Regional,8073
Bayside (NSW),25996
Bega Valley,10408
Bellingen,3558
Berrigan,2832
Blacktown,43764
Bland,1268
Blayney,1517
Blue Mountains,17539
Bogan,498
Bourke,356
Brewarrina,204
Broken Hill,4080
Burwood,6167
Byron,6703
Cabonne,2973
Camden,11847
Campbelltown (NSW),23459
Canada Bay,15033
Canterbury-Bankstown,55638
Carrathool,435
Central Coast (NSW),76941
Central Darling,352
Cessnock,10828
Clarence Valley,14832
Cobar,680
Coffs Harbour,18225
Coolamon,1034
Coonamble,724
Cootamundra-Gundagai Regional,3227
Cowra,3382
Cumberland,28375
Dubbo Regional,9485
Dungog,2099
Edward River,2098
Eurobodalla,13316
Fairfield,34970
Federation,3918
Forbes,2154
Georges River,26354
Gilgandra,1031
Glen Innes Severn,2535
Goulburn Mulwaree,6687
Greater Hume Shire,2457
Griffith,4494
Gunnedah,2452
Gwydir,1391
Hawkesbury,11137
Hay,674
Hilltops,4628
Hornsby,27463
Hunters Hill,3243
Inner West,25696
Inverell,4067
Junee,1235
Kempsey,8052
Kiama,6363
Ku-ring-gai,23999
Kyogle,2487
Lachlan,1299
Lake Macquarie,47076
Lane Cove,5660
Leeton,2056
Lismore,9240
Lithgow,5107
Liverpool,26976
Liverpool Plains,1864
Lockhart,805
Maitland,14004
Mid-Coast,32069
Mid-Western Regional,5317
Moree Plains,2121
Mosman,6209
Murray River,3659
Murrumbidgee,727
Muswellbrook,2447
Nambucca Valley,6138
Narrabri,2436
Narrandera,1326
Narromine,1388
Newcastle,28649
North Sydney,11495
Northern Beaches,47957
Oberon,1390
Orange,7817
Parkes,2982
Parramatta,32198
Penrith,28296
Port Macquarie-Hastings,25284
Port Stephens,19493
Queanbeyan-Palerang Regional,8534
Randwick,20943
Richmond Valley,5909
Ryde,19447
Shellharbour,13976
Shoalhaven,30420
Singleton,3541
Snowy Monaro Regional,4282
Snowy Valleys,3459
Strathfield,5513
Sutherland Shire,43237
Sydney,20392
Tamworth Regional,12527
Temora,1641
Tenterfield,2234
The Hills Shire,28419
Tweed,25931
Upper Hunter Shire,3002
Upper Lachlan Shire,2133
Uralla,1383
Wagga Wagga,11196
Walcha,888
Walgett,1143
Warren,596
Warrumbungle Shire,2639
Waverley,8856
Weddin,1076
Wentworth,1548
Willoughby,12096
Wingecarribee,14702
Wollondilly,8243
Wollongong,39969
Woollahra,11174
Yass Valley,3169
Unincorporated NSW,212
No usual address (NSW),1373
Migratory - Offshore - Shipping (NSW),0
