AGE5P Age in Five Year Groups,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95-99 years,100 years and over,Total
Sydney,289412,304234,296045,270956,321649,372066,394857,389136,340534,318972,296581,277481,249922,210802,182229,130226,90623,56049,28796,8400,1069,4830047
Albury - Wodonga,6185,6501,6201,6009,5973,6542,6551,6289,5830,5746,5907,5810,5797,5531,4865,3454,2372,1331,687,186,23,97793
Armidale,1315,1422,1536,2028,2111,1701,1553,1439,1188,1238,1279,1440,1318,1167,1090,890,652,387,176,38,4,23967
Ballina,2196,2519,2798,2416,1877,1945,2317,2588,2647,2886,3004,3126,3369,3484,3215,2306,1648,1053,594,174,25,46190
Batemans Bay,756,819,998,837,641,720,729,756,799,996,1083,1210,1539,1571,1614,1109,691,415,193,53,5,17524
Bathurst,2180,2421,2521,2520,2631,2507,2655,2331,2122,2254,2218,2108,2161,1931,1701,1251,911,586,302,74,8,37396
Bowral - Mittagong,2125,2331,2660,2322,1763,1822,2101,2192,2165,2534,2709,2640,2754,2778,3047,2478,1685,980,395,118,21,41600
Broken Hill,972,995,1033,971,896,1093,1087,989,894,944,1066,1218,1348,1193,1023,746,527,359,187,41,3,17588
Byron Bay,477,503,513,413,544,964,1153,940,775,752,634,656,721,700,525,312,169,83,66,18,3,10914
Camden Haven,590,842,966,905,574,513,543,688,756,941,1161,1398,1593,1808,1978,1526,905,527,223,56,7,18484
Central Coast,19278,20856,21609,20002,18281,18422,19432,20618,20353,21670,21959,22203,22129,20541,19761,15133,10401,6213,3315,873,120,343180
Coffs Harbour,3830,4480,4834,4245,3387,4028,4310,4472,4291,4552,4562,4662,5134,5040,4578,3239,2278,1364,672,222,26,74195
Dubbo,3066,2887,2795,2327,2400,3397,3219,2730,2249,2191,2249,2169,2201,1862,1645,1277,1000,552,283,61,11,40578
Forster - Tuncurry,696,850,979,915,690,718,771,866,854,1027,1122,1312,1781,2023,2167,1755,1217,796,436,111,9,21087
