Hospital,State/ Territory,Remoteness area,Previous peer group,Current peer group,Peer group,lat,lon
Armidale,NSW,Inner regional,Medium hospitals – group 1,Public acute group B hospitals,,-30.5035714,151.6523371
Auburn,NSW,Major cities,Large hospitals – major city,Public acute group B hospitals,,43.675621,-79.44218400000001
Ballina,NSW,Inner regional,Medium hospitals – group 2,Public acute group C hospitals,,-28.8627985,153.5658162
Balmain,NSW,Major cities,Other non-acute hospitals,Public acute group D hospitals,,43.670122,-79.3923635
Balranald (MPS),NSW,Outer regional,Small acute hospitals – regional,Public acute group D hospitals,,-34.6444943,143.5684133
Bankstown/ Lidcombe,NSW,Major cities,Principal referral hospitals,Public acute group A hospitals,,-33.9177861,151.0263741
Baradine (MPS),NSW,Remote,Multi-purpose services,Public acute group D hospitals,,-30.9452699,149.0662664
Barham Koondrook,NSW,Outer regional,Small non-acute hospitals,Public acute group D hospitals,,-35.642752,144.1260831
Barraba (MPS),NSW,Outer regional,Small acute hospitals – regional,Public acute group D hospitals,,-30.382269,150.6056662
Batemans Bay,NSW,Inner regional,Medium hospitals – group 2,Public acute group C hospitals,,-35.7162174,150.1794566
Bathurst,NSW,Inner regional,Large hospitals – regional & remote,Public acute group A hospitals,,43.893229,-79.46939619999999
Batlow/ Adelong (MPS),NSW,Outer regional,Unpeered & other hospitals,Very small hospitals,,-35.5226421,148.1480804
Bega,NSW,Outer regional,Medium hospitals – group 1,Public acute group B hospitals,,43.5156757,-79.6908705
Bellinger River,NSW,Outer regional,Small non-acute hospitals,Public acute group C hospitals,,-30.4332051,152.7296388
Belmont,NSW,Major cities,Medium hospitals – group 1,Public acute group B hospitals,,43.6747253,-79.3911316
Berrigan (MPS),NSW,Outer regional,Unpeered & other hospitals,Public acute group D hospitals,,-35.6629541,145.8126076
Bingara (MPS),NSW,Outer regional,Small acute hospitals – regional,Public acute group D hospitals,,-29.864026,150.5788989
Blacktown,NSW,Major cities,Principal referral hospitals,Public acute group A hospitals,,-33.7660982,150.9126927
Blayney (MPS),NSW,Inner regional,Unpeered & other hospitals,Very small hospitals,,-33.5379909,149.250624
Blue Mountains,NSW,Major cities,Medium hospitals – group 2,Public acute group C hospitals,,44.5458789,-80.46168279999999
Boggabri (MPS),NSW,Outer regional,Unpeered & other hospitals,Very small hospitals,,-30.7114616,150.0402624
Bombala,NSW,Outer regional,Unpeered & other hospitals,Public acute group D hospitals,,-36.9108684,149.240079
Bonalbo,NSW,Outer regional,Small acute hospitals – regional,Public acute group D hospitals,,-28.7364418,152.6227554
Boorowa,NSW,Inner regional,Small acute hospitals – regional,Public acute group D hospitals,,-34.4364648,148.7167614
Bourke (MPS),NSW,Remote,Small acute hospitals – remote,Public acute group D hospitals,,-30.0927312,145.9480627
Bourke Street Health Service,NSW,Inner regional,Other non-acute hospitals,Mixed sub- & non-acute hospitals,,-34.74890120000001,149.7197076
Bowral,NSW,Inner regional,Medium hospitals – group 1,Public acute group B hospitals,,-34.4802367,150.4176228
Braeside,NSW,Major cities,Other non-acute hospitals,Mixed sub- & non-acute hospitals,,43.2145208,-80.35431030000001
Braidwood (MPS),NSW,Inner regional,Multi-purpose services,Public acute group D hospitals,,-35.443796,149.8058611
Brewarrina (MPS),NSW,Remote,Small acute hospitals – remote,Public acute group D hospitals,,-29.9614887,146.8640098
Broken Hill,NSW,Outer regional,Medium hospitals – group 1,Public acute group B hospitals,,-31.9595859,141.4608138
Bulahdelah - Myall Lakes,NSW,Inner regional,Unpeered & other hospitals,Very small hospitals,,-32.4165929,152.2087425
Bulli,NSW,Major cities,Small non-acute hospitals,Public acute group C hospitals,,-34.3335025,150.9133384
