LGA_NAME22,name,lat,lon
"Regional Pacing Service, Steve King","572 Stanley Street, Albury",-36.0751193,146.9094852
Feeling Good Life Coaching,"Suite 41, Level 3/470 Wodonga Place, Albury",-36.0751193,146.9094852
Insight Private Hospital,"Level 5, The Gardens Medical Centre, 470 Wodonga Place, Albury",-36.0751193,146.9094852
Mercy Health Albury,"550 Poole Street, Albury",-36.0751193,146.9094852
Insight Orthopaedic and Sports Injury Clinic,"Level 5, The Gardens Medical Centre, 470 Wodonga Place, Albury",-36.0751193,146.9094852
Mercy Health Albury - Casualty Entrance,Albury,-36.0751193,146.9094852
Call Doctors Home Visit Services,"561 Burma Road, Table Top",-35.975119299999996,147.0094852
Armidale Private Hospital,"226 Rusden Street, Armidale",-30.5035714,151.6523371
Defined Health,"18 Cherry Street, Ballina",-28.8627985,153.5658162
Ballina District Hospital,"78-92 Cherry Street, Ballina",-28.8627985,153.5658162
UCRH Placement Accomodation,"51 Fox Street, Ballina",-28.8627985,153.5658162
Doctors At Ballina Fair,"Shop 70/84 Kerr Street, Ballina",-28.8627985,153.5658162
St Vincent's Ballina Consulting Suites,"75 Tamar Street, Ballina",-28.8627985,153.5658162
Ballina Specialist Medical Centre,"85 Tamar Street, Ballina",-28.8627985,153.5658162
First Light Healthcare Ballina,"92 Tamar St Suites 10-12, 11/92 Tamar Street, Ballina",-28.8627985,153.5658162
Balranald District Hospital,"Market Street, Balranald",-34.6394376,143.5629137
St Joseph's Catholic Church,"106 Church Street, Balranald",-34.6394376,143.5629137
George Street Medical Practice,"115 George Street, Bathurst",-33.4111857,149.578693
Bathurst Health Service​,"361 Howick Street, West Bathurst",-33.4111857,149.578693
WeCare Health,"185 Durham Street, Bathurst",-33.4111857,149.578693
Macquarie Family Medical Centre,"Centre, Shop MM3b/210 Howick Street, Bathurst",-33.4111857,149.578693
Daffodil Cottage,"365 Howick Street, West Bathurst",-33.4111857,149.578693
MedClinic Panania Medical Centre,"96 Anderson Avenue, Panania",-33.9581033,150.99858790000002
Faraj Medical Services,"158 Tower Street, Panania",-33.9581033,150.99858790000002
Panania Family Doctors,"75 Anderson Avenue, Panania",-33.9581033,150.99858790000002
Hurstville Maternity,"4/37 Gloucester Road, Hurstville",-33.9581033,151.0985879
GenesisCare,"Waratah Private Hospital, Level 6/31 Dora Street, Hurstville",-33.9581033,151.0985879
Centruion Healthcare,"2/31 Dora Street, Hurstville",-33.9581033,151.0985879
Hurstville Child and Family Health Centre,"65/23-27 Macmahon Street, Hurstville",-33.9581033,151.0985879
Hurstville Private Hospital,"37 Gloucester Road, Hurstville",-33.9581033,151.0985879
Hurstville Allied Health Care,"4/8 Crofts Avenue, Hurstville",-33.9581033,151.0985879
No Gap Surgery - Joint Replacements,"Suite 4, level 2/37 Gloucester Road, Hurstville",-33.9581033,151.0985879
Dr Zhuoran Chen,"Suit 1, Level 2, 37 Gloucester Road, Hurstville",-33.9581033,151.0985879
Waratah Private Hospital,"31 Dora Street, Hurstville",-33.9581033,151.0985879
Strata Cleaning Services,"1 Dora Street, Hurstville",-33.9581033,151.0985879
Wales Medical Centre,"277-279 Forest Road, Hurstville",-33.9581033,151.0985879
Hurstville private,"grosvenor road, Hurstville",-33.9581033,151.0985879
ONBoard Solutions Pty Ltd,"2 Salisbury Street, Botany",-33.9581033,151.1985879
Excelsior Family Medical Centre,"175 Excelsior Street, Guildford",-33.858103299999996,150.99858790000002
Rawson DMC,"83 Rawson Road, Guildford",-33.858103299999996,150.99858790000002
St Anthony Medical Centre,"194 Guildford Road, Guildford",-33.858103299999996,150.99858790000002
Blaxcell Medical and Dental Surgery,"294 Blaxcell Street, Granville",-33.858103299999996,150.99858790000002
Dr Sim Choroomi,"119 Majors Bay Road, Concord",-33.858103299999996,151.0985879
Concord Family Doctors,"19 Brewer Street, Concord",-33.858103299999996,151.0985879
1 Primary Care Services Pty Ltd,"99/101 Queen Street, North Strathfield",-33.858103299999996,151.0985879
Medlab Collection Center,"119 Queen Street, North Strathfield",-33.858103299999996,151.0985879
City Medical Practice - Sydney,"2 York Street, Sydney",-33.858103299999996,151.1985879
Executive Health Group,"168 Kent Street, Millers Point",-33.858103299999996,151.1985879
Myhealth Barangaroo,"Shop 102, International Towers Sydney, Tower Three, 300 Barangaroo Avenue, Barangaroo",-33.858103299999996,151.1985879
Bridgeside Medical Centre,"9/200 Cumberland Street, Sydney",-33.858103299999996,151.1985879
Bennelong Firstcare,"37 George Street, The Rocks",-33.858103299999996,151.1985879
DoctorDoctor,"Level 21/225 George Street, Sydney",-33.858103299999996,151.1985879
EasyVisit,"Level 21/225 George Street, Sydney",-33.858103299999996,151.1985879
Earworx,"2 York Street, Sydney",-33.858103299999996,151.1985879
Jamison Street Day Surgery,"1 Jamison Street, Sydney",-33.858103299999996,151.1985879
Nambucca Healthcare Centre,"Shop 20, Nambucca Plaza, 2191 Giinagay Way, Nambucca Heads",-30.652149299999998,152.9970631
Bellinger River District Hospital,"Bellinger River District Hospital, Church Street, Bellingen",-30.4521493,152.8970631
Heal by Hypnosis | Hypnotherapy & Counselling,"23 Hyde Street, Bellingen",-30.4521493,152.8970631
Berrigan Health Service,"39 Memorial Drive, Berrigan",-35.657423,145.8116744
Berrigan Ambulance Station,"47-49 Davis Street, Berrigan",-35.657423,145.8116744
Berrigan Memorial Hospital,"47 Davis Street, Berrigan",-35.657423,145.8116744
Leppington Medical Centre,"Shop 2/1469 Camden Valley Way, Leppington",-33.966098200000005,150.8126927
Western Sydney Spinal Clinic (Dr Bonne Lee),"84 Tasman Parade, Fairfield West",-33.8660982,150.9126927
Fairfield West Medical Centre,"84 Tasman Parade, Fairfield West",-33.8660982,150.9126927
Wellington Road Medical Practice,"46 Wellington Road, South Granville",-33.8660982,151.0126927
Nepean Hospital,NSW,-33.7660982,150.71269270000002
Professor Mohamed H Khadra,"Level 2 Suite 204/68 Derby Street, Penrith",-33.7660982,150.71269270000002
Nepean Lung & Sleep - CPAP clinic,"Shop 2, 48/56 Derby Street, Kingswood",-33.7660982,150.71269270000002
Jamison Specialist Centre,"68 Derby Street, Kingswood",-33.7660982,150.71269270000002
Liverscan,"102 Stafford Street, Penrith",-33.7660982,150.71269270000002
GenesisCare,"38 Somerset Street, Kingswood",-33.7660982,150.71269270000002
Somerset Private Hospital,"Level 1/38 Somerset Street, Kingswood",-33.7660982,150.71269270000002
Nepean Private Hospital,"1-9 Barber Avenue, Kingswood",-33.7660982,150.71269270000002
Circle of Care,"2A Derby Street, Kingswood",-33.7660982,150.71269270000002
Nepean Medical Specialists,"102 Derby Street, Penrith",-33.7660982,150.71269270000002
Matilda Nepean,"39 Orth Street, Kingswood",-33.7660982,150.71269270000002
Nepean Private Specialist Centre,"1A Barber Avenue, Kingswood",-33.7660982,150.71269270000002
Vein Doctors Sydney - Varicose Vein Treatment Specialists in Kingswood,"Suite 5, Level 3/13 Barber Avenue, Kingswood",-33.7660982,150.71269270000002
Dr Ryan McConnell | Endovascular Specialist & Interventional Neuroradiologist,"Suite 5, Level 3/13 Barber Avenue, Kingswood",-33.7660982,150.71269270000002
