Australian Bureau of Statistics

"2021 Census - counting families, place of enumeration"
"LGA (EN) by FINF Total Family Income (weekly)"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"FINF Total Family Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Negative income","Total",
"LGA (EN)",
"Albury",47,80,79,272,404,1007,896,1065,1234,956,991,2070,1433,1063,618,301,380,273,205,88,34,13493,
"Armidale",33,38,44,143,171,506,454,513,599,437,492,888,606,442,287,144,222,152,117,42,23,6360,
"Ballina",64,49,56,240,246,929,894,1054,1150,800,837,1673,1120,860,496,240,373,312,227,104,29,11763,
"Balranald",0,4,0,12,19,40,33,46,35,32,44,70,44,26,16,4,4,9,0,9,3,460,
"Bathurst",42,46,74,181,222,670,644,830,914,660,711,1511,1171,836,589,320,368,249,148,58,25,10256,
"Bayside (NSW)",205,277,278,784,832,2384,2081,2540,3159,2574,2679,6180,4492,3838,2654,1469,2301,1809,1604,410,158,42694,
"Bega Valley",70,57,80,250,280,927,814,917,1038,604,666,1194,768,519,278,129,192,121,67,45,40,9038,
"Bellingen",33,36,35,93,104,327,294,344,359,234,232,408,279,187,101,38,52,46,22,12,19,3252,
"Berrigan",6,14,24,48,62,266,183,203,233,116,138,259,176,123,57,22,37,20,19,20,6,2039,
"Blacktown",371,509,691,1755,2108,5014,4562,5671,7121,5864,6006,14642,11126,9512,6448,3665,4744,3477,2349,400,303,96343,
"Bland",7,7,8,36,37,122,96,98,109,73,93,185,124,98,46,23,47,19,9,5,9,1251,
"Blayney",7,13,11,35,41,143,122,134,193,112,106,249,218,149,102,44,61,46,30,17,9,1836,
"Blue Mountains",81,92,100,324,380,1109,1097,1512,1723,1232,1289,2791,2199,1927,1286,737,1200,843,622,142,33,20727,
"Bogan",3,8,0,13,19,39,33,42,38,40,32,77,59,33,25,16,26,15,12,4,5,546,
"Bourke",3,4,0,11,9,44,30,25,38,25,30,64,37,43,14,8,15,4,12,9,4,432,
