Australian Bureau of Statistics

"2021 Census - counting families, place of enumeration"
"LGA (EN) by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"MRERD Mortgage Repayments (monthly) Ranges","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,799","$2,800-$2,999","$3,000-$3,499","$3,500-$3,999","$4,000-$4,999","$5,000 and over","Not stated","Not applicable","Nil repayments","Total",
"LGA (EN)",
"Albury",60,96,177,164,357,573,789,989,769,812,476,644,167,113,240,82,260,50,123,66,371,17106,177,24651,
"Armidale",26,26,66,71,145,234,273,379,293,293,183,210,82,65,86,32,102,35,71,45,165,9106,126,12115,
"Ballina",52,58,98,95,160,225,279,360,339,432,353,550,274,170,334,151,455,137,210,154,353,15350,165,20763,
"Balranald",3,0,9,7,19,31,24,24,6,7,4,8,0,0,3,0,0,0,7,8,16,760,14,965,
"Bathurst",39,48,80,95,177,264,360,528,543,660,498,631,235,150,272,104,274,67,117,85,303,12319,130,17986,
"Bayside (NSW)",139,116,220,191,338,472,639,712,796,905,844,1911,1002,1048,1168,697,2328,1095,1860,1629,1477,53371,701,73669,
"Bega Valley",51,73,159,101,193,299,379,422,373,409,233,383,144,87,141,60,149,44,77,52,220,12605,124,16772,
"Bellingen",11,22,44,40,59,102,135,167,122,129,105,162,32,42,53,26,72,22,29,22,85,4619,60,6149,
"Berrigan",6,14,38,40,87,115,98,123,71,74,50,68,18,11,17,8,22,5,8,18,73,2891,46,3909,
"Blacktown",326,287,516,482,867,1202,1737,2322,2489,3156,2798,5844,3448,3750,4256,2734,7775,2824,3020,1871,3890,82309,1539,139434,
"Bland",4,8,26,41,51,63,72,75,40,30,22,46,7,5,13,6,9,0,13,9,43,1958,47,2585,
"Blayney",4,13,19,22,42,73,95,114,89,87,51,83,30,16,41,13,54,12,31,30,51,2114,33,3128,
"Blue Mountains",140,124,238,172,369,429,536,751,779,969,842,1344,811,598,821,467,1188,344,460,329,582,20607,343,33250,
"Bogan",0,0,17,14,25,27,27,27,16,17,0,18,3,0,3,0,0,3,4,6,13,860,20,1108,
"Bourke",0,0,10,17,21,25,15,8,21,14,6,6,3,0,0,0,8,0,5,4,10,872,26,1065,
"Brewarrina",0,5,4,3,12,7,3,4,0,0,0,0,0,0,0,0,0,0,0,5,5,609,9,663,
"Broken Hill",25,67,193,192,355,339,303,207,143,101,39,73,9,12,23,9,17,7,12,9,153,6068,51,8417,
"Burwood",39,33,37,38,58,79,85,121,118,119,121,320,113,154,166,93,378,214,352,410,307,12922,198,16473,
"Byron",52,38,84,72,117,159,174,215,194,266,158,381,168,130,246,113,382,137,241,321,318,11812,185,15978,
"Cabonne",8,17,38,50,96,116,158,191,117,138,90,160,54,47,76,38,98,36,73,69,120,3795,62,5644,
"Camden",81,66,183,153,227,390,527,672,682,1014,975,2057,1459,1482,2137,1371,3203,1014,1139,677,1259,20151,382,41308,
"Campbelltown (NSW)",140,192,290,306,553,715,1102,1456,1524,1951,1669,3028,1720,1491,1770,903,2165,638,792,550,1707,40145,632,65418,
"Canada Bay",82,85,112,83,153,183,244,290,305,344,256,759,336,485,408,302,1248,599,1230,1835,743,27160,402,37653,
"Canterbury-Bankstown",322,261,547,512,778,1116,1441,1870,1826,2241,1656,4064,1640,1620,2162,1345,4522,1920,2750,2024,3125,96005,1419,135169,
"Carrathool",0,10,15,18,22,27,28,11,6,9,5,7,0,3,0,0,5,0,0,0,21,1026,25,1238,
"Central Coast (NSW)",401,445,808,745,1257,1808,2187,3044,3273,4164,3192,5454,2828,2094,3074,1578,3862,1174,1815,1296,2950,98623,1258,147335,
"Central Darling",0,4,4,3,10,4,0,3,0,0,0,3,0,0,0,0,0,0,0,7,11,837,7,897,
"Cessnock",54,88,163,141,317,525,668,1059,1012,1079,710,943,342,221,369,166,453,140,179,138,571,16162,196,25691,
"Clarence Valley",76,73,197,190,355,500,641,792,598,653,376,501,164,75,155,64,160,42,90,69,373,18060,170,24382,
"Cobar",0,10,19,24,42,55,49,42,28,23,13,30,7,6,0,5,10,5,4,7,27,1453,22,1879,
"Coffs Harbour",74,119,213,177,349,495,615,789,759,1027,758,1118,485,277,490,188,483,135,166,134,587,24719,284,34462,
"Coolamon",0,10,24,22,52,56,50,72,45,57,23,36,10,4,14,6,19,0,4,6,37,1252,24,1823,
"Coonamble",3,6,28,25,33,28,25,33,8,10,6,14,3,0,4,0,0,0,6,15,26,1349,27,1669,
"Cootamundra-Gundagai",12,25,31,48,116,154,153,144,109,85,41,65,16,9,17,8,35,8,14,9,71,3906,43,5122,
"Cowra",9,21,58,54,114,190,174,153,147,113,56,85,19,23,22,6,28,7,17,19,86,4349,53,5814,
"Cumberland",175,151,264,247,410,592,843,1059,1187,1464,1225,2813,1278,1323,1378,819,2581,907,1203,932,2063,61061,919,84896,
"Dubbo",42,55,118,136,308,522,620,854,753,786,466,664,234,130,249,116,254,54,119,94,463,15602,164,22812,
