Australian Bureau of Statistics

"2021 Census - counting families, place of enumeration"
"LGA (EN) by RNTRD Rent (weekly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"RNTRD Rent (weekly) Ranges","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$474","$475-$499","$500-$524","$525-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"LGA (EN)",
"Albury",43,91,274,213,515,648,706,567,831,657,808,436,594,329,389,153,180,54,89,19,88,25,7,6,15,308,16590,24651,
"Armidale",27,37,76,58,137,248,382,278,449,326,423,229,359,243,229,101,93,44,55,11,45,16,0,0,11,155,8099,12115,
"Ballina",29,22,263,82,77,111,138,95,161,143,321,144,332,219,420,171,366,150,337,138,752,431,155,53,63,191,15385,20763,
"Balranald",16,4,11,4,18,15,43,10,29,14,17,0,3,0,8,0,0,0,0,0,0,5,0,0,0,16,746,965,
"Bathurst",43,48,177,93,157,159,334,203,391,363,642,370,525,331,444,202,309,105,105,14,64,13,3,3,10,210,12681,17986,
"Bayside (NSW)",106,128,796,247,293,270,373,205,414,241,773,476,1278,1025,2132,1095,2205,1356,2577,1026,5919,3429,1550,669,614,976,43490,73669,
"Bega Valley",37,20,164,64,105,98,241,137,279,193,330,189,376,168,243,94,158,51,91,21,67,25,9,3,31,159,13427,16772,
"Bellingen",10,4,22,15,40,44,60,40,85,69,141,58,136,82,130,42,76,33,39,13,47,11,7,0,4,58,4869,6149,
"Berrigan",12,23,69,30,82,56,97,42,76,48,63,15,40,3,13,4,4,0,0,0,0,0,3,0,4,31,3194,3909,
"Blacktown",277,438,1648,743,961,909,1080,602,1111,819,2195,1761,4056,3011,4894,2571,3930,1767,2664,1163,5854,1965,351,84,124,1641,92817,139434,
"Bland",27,14,48,25,37,40,42,28,42,22,35,10,14,6,7,3,4,0,0,0,5,0,0,0,4,45,2130,2585,
"Blayney",15,5,40,17,38,29,60,37,85,57,77,24,45,23,24,6,16,5,5,0,4,4,0,0,3,37,2471,3128,
"Blue Mountains",16,24,54,31,91,234,155,134,224,183,368,174,435,400,670,351,628,299,364,114,420,158,51,20,18,215,27432,33250,
"Bogan",19,16,32,17,23,24,33,12,28,9,28,0,8,0,5,0,0,0,3,0,0,0,0,0,0,26,819,1108,
"Bourke",46,18,20,12,28,19,34,27,29,3,16,0,8,0,0,0,0,0,3,0,0,0,0,0,0,34,750,1065,
"Brewarrina",25,12,25,25,45,47,13,9,10,6,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,36,393,663,
"Broken Hill",61,64,70,69,187,214,317,173,237,107,131,29,77,26,36,4,10,0,9,0,12,0,0,0,10,113,6470,8417,
"Burwood",23,18,169,74,101,74,145,91,155,100,230,103,237,198,525,238,665,403,768,248,1616,652,254,129,138,291,8849,16473,
"Byron",18,9,28,33,64,116,126,59,146,63,169,63,170,82,230,70,210,130,243,71,644,504,360,224,406,216,11523,15978,
"Cabonne",34,16,51,18,63,42,88,52,113,51,81,34,51,3,30,0,6,0,0,0,7,6,3,0,4,68,4818,5644,
"Camden",27,18,127,38,75,73,93,70,173,84,254,194,436,236,521,319,737,665,1708,998,2390,396,118,43,44,386,31088,41308,
"Campbelltown (NSW)",128,234,1107,416,628,519,639,396,628,516,1154,873,2286,1731,2730,1139,1542,688,1111,363,1397,305,60,29,41,849,43916,65418,
"Canada Bay",38,49,310,119,92,137,135,82,152,97,179,72,223,203,614,327,839,561,1241,585,2999,1990,1082,531,815,472,23715,37653,
"Canterbury-Bankstown",296,582,2410,817,1097,1131,1305,760,1325,988,2651,1493,3610,2342,4227,1691,3543,1660,3462,1144,5318,2900,1179,398,287,2116,86428,135169,
"Carrathool",23,7,24,3,24,24,46,16,34,13,26,6,8,0,6,0,0,0,0,0,3,0,0,0,0,47,921,1238,
"Central Coast (NSW)",191,246,1257,422,709,845,1087,690,1228,943,2428,1561,3704,2786,4372,2103,3156,1735,2454,845,3072,1194,521,232,268,1332,107947,147335,
"Central Darling",48,14,27,17,40,26,30,5,14,5,6,3,0,0,3,0,0,0,0,0,5,0,0,0,0,49,616,897,
"Cessnock",23,26,83,68,113,226,265,215,424,409,931,508,883,458,701,354,411,146,145,16,91,37,14,6,24,240,18880,25691,
"Clarence Valley",29,32,167,84,220,205,347,205,522,317,664,338,618,294,428,166,234,83,145,38,132,43,20,12,52,259,18738,24382,
"Cobar",37,31,46,28,58,38,57,19,56,19,50,9,5,0,3,0,3,0,0,0,0,0,0,0,0,51,1360,1879,
"Coffs Harbour",44,36,127,145,204,411,309,244,522,430,785,417,888,520,928,490,756,389,522,181,714,239,72,24,58,394,24618,34462,
"Coolamon",11,3,39,12,30,9,37,8,36,15,24,3,13,4,13,5,0,0,4,0,0,0,0,0,0,18,1542,1823,
"Coonamble",30,22,22,18,70,57,70,32,53,7,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,1226,1669,
"Cootamundra-Gundagai",20,16,93,36,120,94,128,76,131,87,94,25,43,7,18,0,0,0,3,0,5,0,0,4,4,62,4043,5122,
"Cowra",21,26,77,56,119,140,173,139,195,109,106,32,47,14,27,5,7,3,0,0,4,4,0,5,3,83,4421,5814,
"Cumberland",187,376,1361,457,710,630,816,468,744,537,1638,992,2578,1947,3731,1719,3340,1615,2888,855,3624,1459,395,140,172,1577,49948,84896,
"Dubbo",39,54,269,117,278,313,491,315,652,459,767,452,767,389,455,159,205,83,107,19,77,27,13,7,10,311,15987,22812,
"Dungog",6,7,11,3,29,19,37,24,70,34,62,35,73,35,41,17,12,7,14,0,12,8,0,0,0,38,3480,4070,
"Edward River",14,18,49,60,112,77,83,64,127,82,64,17,31,12,6,3,0,0,4,0,0,0,0,0,4,60,2960,3848,
"Eurobodalla",24,20,144,65,147,147,262,147,321,216,404,183,429,269,401,136,205,79,134,22,138,29,16,5,33,243,15144,19361,
"Fairfield",127,224,1031,378,666,700,832,482,998,765,1999,903,1954,1175,2603,1095,2383,1041,1894,461,2076,774,218,45,61,1122,46522,72520,
"Federation",27,20,55,47,107,93,116,68,146,99,131,47,64,10,26,11,6,5,6,3,3,0,3,0,3,58,4708,5852,
"Forbes",22,18,59,56,94,61,118,99,129,65,90,28,46,16,29,0,10,0,10,0,5,0,0,0,4,81,3089,4143,
"Georges River",68,79,535,183,248,224,291,207,324,238,682,389,1004,954,2044,952,1753,972,2009,799,2987,1150,496,203,319,700,39803,59587,
"Gilgandra",9,6,22,22,46,61,56,44,61,24,10,0,0,3,0,0,4,0,0,0,0,0,0,0,0,33,1495,1911,
"Glen Innes Severn",18,7,37,42,119,90,134,90,165,70,73,14,21,4,10,0,3,0,4,0,4,0,0,0,8,51,3235,4202,
"Goulburn Mulwaree",22,48,201,78,132,168,186,129,230,193,455,248,442,271,287,120,154,43,85,13,48,21,3,7,10,173,9915,13684,
"Greater Hume",6,12,49,27,85,52,78,34,86,40,53,11,19,14,10,0,3,0,3,0,3,0,0,0,0,44,3871,4519,
"Griffith",31,24,135,56,169,186,308,179,352,185,372,193,355,174,252,66,89,21,51,10,30,5,12,4,4,166,7413,10836,
"Gunnedah",15,13,36,26,55,74,124,82,151,100,161,70,142,67,86,28,55,20,44,7,30,10,4,0,4,80,4051,5532,
"Gwydir",18,3,32,22,30,20,65,35,64,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,1849,2224,
"Hawkesbury",21,28,102,39,95,206,175,98,264,141,372,205,483,385,746,338,572,237,316,100,485,190,106,57,67,247,20131,26216,
"Hay",19,6,30,31,67,36,45,15,27,17,11,0,5,0,0,0,0,0,0,0,0,0,0,0,4,22,1036,1370,
"Hilltops",37,24,66,39,131,130,225,188,302,163,205,74,98,39,20,10,12,0,8,0,3,0,4,3,3,123,6578,8485,
"Hornsby",32,41,123,83,114,197,213,147,195,125,303,149,471,561,1016,570,1058,741,1070,396,1905,1346,726,419,323,451,43696,56462,
"Hunters Hill",8,9,40,22,14,60,26,19,21,23,38,9,23,16,42,31,58,22,52,19,153,118,73,59,197,44,3863,5090,
"Inner West",93,141,797,265,288,449,535,377,670,515,1181,673,1678,1336,2328,1177,2063,1344,2060,724,4495,3807,2507,1551,2380,844,46493,80771,
"Inverell",51,20,64,69,140,121,204,140,216,164,280,123,139,46,64,10,15,9,9,0,11,4,5,0,4,102,5785,7807,
"Junee",13,12,35,29,42,32,55,23,101,48,70,27,40,24,18,0,3,0,7,0,4,0,0,0,0,19,1820,2402,
