Australian Bureau of Statistics

"2021 Census - counting persons, place of usual residence"
"LGA (UR) by 2-digit level INCAP Total Personal Income (administrative data) (weekly)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"2-digit level INCAP Total Personal Income (administrative data) (weekly)","Negative income","Nil income","$1-$149","$150-$299","$300-$399","$400-$499","$500-$649","$650-$799","$800-$999","$1000-$1249","$1250-$1499","$1500-$1749","$1750-$1999","$2000-$2499","$2500-$2999","$3000-$3499","$3500-$3999","$4000-$4499","$4500-$4999","$5000-$5999","$6000-$7999","$8000-$9999","$10000 or more","Admin not available","Not applicable","Total",
"LGA (UR)",
"Albury",115,2750,2040,1863,2936,4724,3387,2737,3739,4435,3405,2621,1862,2353,928,421,238,149,99,102,93,40,67,4406,10571,56093,
"Armidale",150,1644,1235,1164,1509,2243,1825,1323,1755,1883,1417,1042,772,1155,507,216,129,88,43,51,45,15,23,3651,5240,29124,
"Ballina",213,2826,2095,2177,3069,4071,2896,2242,3015,3144,2296,1661,1272,1837,813,412,285,126,82,114,98,47,59,3903,7539,46296,
"Balranald",31,104,71,78,110,148,95,80,105,163,122,95,44,63,22,8,8,3,0,0,0,0,0,395,434,2208,
"Bathurst",199,2446,1701,1549,2225,3167,2531,1821,2542,2986,2393,1967,1576,2239,843,411,243,119,86,117,86,30,41,4075,8175,43567,
"Bayside (NSW)",364,12057,6212,5792,9200,13185,9825,7942,10012,11357,10024,8042,6360,8743,4811,2635,1498,812,509,563,442,171,139,17994,26491,175184,
"Bega Valley",242,2327,1658,1611,2769,3291,2330,1741,2326,2375,1770,1229,825,1124,433,208,104,68,45,45,46,16,19,3914,5428,35942,
"Bellingen",105,929,605,532,929,1388,858,614,775,752,615,421,308,409,164,64,42,21,14,17,15,7,7,1438,2220,13253,
"Berrigan",86,492,300,305,803,895,559,355,510,523,372,307,188,272,96,40,19,15,8,8,9,6,0,1159,1332,8665,
"Blacktown",661,24967,13200,11994,17534,25629,20145,16020,21481,26986,24298,19010,14358,19797,9904,4871,2371,1184,653,672,420,118,99,30265,90124,396776,
"Bland",84,245,180,172,349,416,296,211,337,364,234,164,140,168,90,44,50,43,41,44,45,4,9,738,1088,5547,
"Blayney",86,472,285,242,391,570,389,326,376,491,369,301,237,299,148,58,35,24,28,76,41,22,9,713,1524,7497,
"Blue Mountains",239,6231,3877,3599,4277,6110,4088,3328,3995,4345,3912,3365,2822,4810,2329,1240,657,370,256,277,219,80,91,3986,13628,78121,
"Bogan",61,102,77,75,106,169,134,102,133,168,133,108,71,109,59,29,11,8,5,7,4,0,0,322,482,2467,
"Bourke",34,64,53,41,74,134,119,88,120,135,107,91,77,95,56,24,10,8,4,5,4,0,0,493,515,2340,
"Brewarrina",23,51,35,26,27,93,124,50,56,79,66,40,25,34,22,6,6,3,0,0,0,0,0,316,277,1356,
"Broken Hill",39,780,468,542,1170,1881,1342,759,969,1034,824,720,525,840,436,166,67,34,18,27,14,0,0,1963,2999,17588,
"Burwood",128,3537,1791,1580,2285,3182,2514,1852,2304,2361,1931,1383,1090,1632,920,567,346,201,122,142,127,48,67,5303,4802,40217,
"Byron",163,2565,1481,1320,1755,2920,2453,2005,2280,2185,1601,1090,781,1098,536,327,254,140,108,103,113,61,97,4871,5812,36116,
"Cabonne",208,858,476,477,780,1015,687,569,762,843,641,528,412,547,252,126,95,48,44,59,51,20,36,1444,2792,13766,
"Camden",222,6466,3959,3489,4502,5965,4966,4714,6560,8346,7607,6655,5290,7650,3483,1815,905,488,296,275,212,68,88,5206,30093,119325,
"Campbelltown (NSW)",234,10818,5974,5807,8635,13084,10405,8051,10745,13057,10879,8100,6053,7250,3041,1395,642,325,178,177,113,38,25,12634,38859,176519,
"Canada Bay",334,6915,3804,3129,3915,5183,3922,3291,4138,4880,4500,4024,3215,5241,3489,2404,1603,1078,719,824,787,363,474,6845,14101,89177,
"Canterbury-Bankstown",564,26956,13626,12862,22108,33970,24487,17696,20854,21595,17275,12865,9464,12619,6178,3229,1787,928,567,596,419,167,153,36566,73477,371006,
"Carrathool",54,124,96,83,103,164,150,139,157,223,150,102,72,89,36,16,11,9,3,7,4,0,0,508,567,2866,
"Central Coast (NSW)",711,20380,14810,13673,21402,31470,21930,15616,20769,23269,18594,13910,10879,15039,7070,3748,2175,1256,783,797,678,254,385,24654,62348,346596,
"Central Darling",14,77,37,31,90,133,153,69,74,83,66,39,32,30,20,16,9,4,0,0,4,0,0,453,302,1725,
"Cessnock",153,3014,2196,1871,3555,5494,3990,2860,4059,4472,3512,2425,1881,2414,1517,762,312,153,97,72,48,24,29,5888,12833,63632,
"Clarence Valley",374,3003,2123,2154,4473,5969,3944,2529,3276,3303,2354,1557,1173,1420,530,220,152,61,42,47,39,18,17,6684,8656,54115,
"Cobar",39,170,106,94,155,274,171,143,186,223,164,145,127,219,173,58,32,17,7,3,3,0,8,720,831,4059,
"Coffs Harbour",318,4218,3271,3092,5268,7334,5180,3845,5081,5573,4075,2875,2122,2765,1050,559,281,202,112,131,103,41,61,7238,13964,78759,
"Coolamon",22,224,162,155,304,401,253,205,222,307,229,163,98,168,85,44,27,17,13,3,11,0,4,413,866,4385,
"Coonamble",54,142,100,81,144,322,249,171,203,227,170,96,76,99,42,36,26,13,5,6,9,4,7,637,811,3732,
"Cootamundra-Gundagai",80,654,460,433,864,1145,689,455,626,730,572,355,237,350,164,86,52,33,11,21,15,5,9,1388,1982,11403,
"Cowra",122,652,447,461,939,1387,850,595,806,896,588,409,266,339,126,53,36,27,10,17,11,9,0,1513,2155,12724,
"Cumberland",343,17537,8261,8273,13183,20311,15020,11248,13424,14121,10879,8133,5983,7896,3865,1897,904,474,313,265,190,86,64,25908,46888,235439,
"Dubbo",294,2153,1729,1573,2454,3819,2804,2152,3384,3994,3210,2516,1946,2565,1083,426,241,143,68,72,82,25,39,6640,11507,54922,
"Dungog",101,620,423,384,606,762,595,417,558,563,437,373,260,425,245,99,55,27,11,17,11,10,16,753,1772,9541,
"Edward River",104,366,305,301,499,747,550,347,517,560,494,328,214,263,98,50,19,13,3,12,7,0,3,1163,1486,8456,
"Eurobodalla",189,2687,1973,2022,3465,4175,2732,2040,2609,2640,1859,1180,850,1073,417,220,136,90,52,53,52,18,29,4427,5617,40593,
"Fairfield",280,14420,7479,7084,14216,24797,17893,11128,12639,12332,9047,6414,4372,5155,2139,975,459,241,145,140,105,54,58,19645,37247,208475,
"Federation",85,660,508,482,1125,1295,841,588,778,860,677,529,316,394,164,84,44,24,19,10,17,3,4,1376,2021,12899,
"Forbes",115,457,298,313,508,759,519,408,541,636,500,337,200,317,151,74,42,36,18,35,21,7,10,1154,1850,9319,
"Georges River",459,11862,6328,6033,8602,11350,8722,7162,8947,9826,7960,6292,4739,7090,3872,2250,1403,850,535,614,498,217,300,12089,24266,152274,
"Gilgandra",95,182,117,141,251,394,265,185,232,239,219,130,103,130,41,27,11,14,3,4,6,0,0,688,818,4295,
"Glen Innes Severn",111,426,328,335,676,1051,693,393,511,522,366,209,169,184,68,25,9,14,7,4,9,4,0,1441,1367,8931,
"Goulburn Mulwaree",185,1809,1102,1122,1771,2741,1840,1392,1902,2122,1747,1398,1083,1510,656,246,137,80,38,49,42,15,25,3262,5784,32053,
