Australian Bureau of Statistics

"2021 Census - counting persons, place of usual residence"
"LGA (UR) by UEFP Unemployment Flag"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"UEFP Unemployment Flag","Unemployed","Employed","Total",
"LGA (UR)",
"Albury",1326,26344,27666,
"Armidale",715,12765,13482,
"Ballina",736,20775,21513,
"Balranald",31,973,1001,
"Bathurst",863,20457,21317,
"Bayside (NSW)",5002,85131,90134,
"Bega Valley",548,14975,15523,
"Bellingen",303,5365,5667,
"Berrigan",111,3454,3566,
"Blacktown",10816,174929,185750,
"Bland",77,2545,2623,
"Blayney",159,3503,3658,
"Blue Mountains",1456,36295,37749,
"Bogan",40,1199,1241,
"Bourke",27,992,1016,
"Brewarrina",34,446,481,
"Broken Hill",419,7172,7586,
"Burwood",1433,18768,20193,
"Byron",901,16724,17631,
"Cabonne",174,6525,6701,
"Camden",2153,59482,61637,
"Campbelltown (NSW)",4936,72788,77719,
"Canada Bay",1965,46315,48280,
"Canterbury-Bankstown",10348,133597,143939,
"Carrathool",41,1468,1514,
"Central Coast (NSW)",7463,150834,158296,
"Central Darling",40,510,544,
"Cessnock",1595,27120,28714,
"Clarence Valley",1302,19770,21077,
"Cobar",61,1844,1901,
"Coffs Harbour",1911,34050,35969,
"Coolamon",71,1982,2052,
"Coonamble",99,1386,1487,
"Cootamundra-Gundagai",189,4497,4685,
"Cowra",277,5158,5443,
"Cumberland",7816,86028,93846,
"Dubbo",946,25386,26334,
"Dungog",153,4403,4558,
"Edward River",140,3773,3918,
"Eurobodalla",646,15097,15744,
"Fairfield",6070,63831,69900,
"Federation",189,5466,5654,
"Forbes",164,4150,4312,
"Georges River",3874,70462,74332,
"Gilgandra",90,1792,1883,
"Glen Innes Severn",227,3336,3564,
"Goulburn Mulwaree",641,14350,14988,
"Greater Hume",150,5001,5152,
"Griffith",423,13690,14114,
"Gunnedah",259,5873,6134,
"Gwydir",85,1952,2041,
"Hawkesbury",1109,33364,34476,
"Hay",54,1286,1337,
"Hilltops",370,8050,8424,
"Hornsby",3210,74803,78017,
"Hunters Hill",217,6220,6439,
"Inner West",4623,102207,106832,
"Inverell",469,7070,7534,
"Junee",112,2514,2629,
"Kempsey",827,10665,11495,
"Kiama",361,10213,10573,
"Ku-ring-gai",2572,58583,61155,
"Kyogle",220,3518,3740,
"Lachlan",144,2526,2664,
"Lake Macquarie",4662,97411,102070,
"Lane Cove",814,21836,22651,
"Leeton",202,5073,5274,
"Lismore",1087,20045,21135,
"Lithgow",483,8304,8790,
"Liverpool",6361,89955,96313,
"Liverpool Plains",189,3044,3236,
"Lockhart",43,1410,1452,
"Maitland",2118,43280,45403,
"Mid-Coast",2231,34019,36246,
"Mid-Western",470,11426,11895,
"Moree Plains",209,5199,5408,
"Mosman",522,14153,14676,
"Murray River",181,5646,5834,
"Murrumbidgee",49,1644,1698,
"Muswellbrook",397,7359,7751,
"Nambucca Valley",519,7085,7602,
"Narrabri",245,5782,6022,
"Narrandera",128,2334,2463,
"Narromine",121,2647,2773,
"Newcastle",4392,86062,90454,
"North Sydney",1487,41183,42671,
"Northern Beaches",4513,136223,140732,
"Oberon",89,2452,2539,
"Orange",748,20446,21195,
"Parkes",336,6197,6528,
"Parramatta",7470,123037,130510,
"Penrith",4881,102094,106975,
"Port Macquarie-Hastings",1789,35597,37384,
"Port Stephens",1632,30986,32614,
"Queanbeyan-Palerang",1096,34789,35883,
"Randwick",3083,69077,72162,
"Richmond Valley",449,9119,9571,
"Ryde",3495,65564,69053,
"Shellharbour",1565,34522,36088,
"Shoalhaven",2181,42293,44471,
"Singleton",467,12105,12574,
"Snowy Monaro",320,11068,11382,
"Snowy Valleys",289,6549,6842,
"Strathfield",1566,22795,24366,
"Sutherland",3742,117444,121182,
"Sydney",7468,126888,134357,
"Tamworth",1341,28644,29980,
"Temora",79,2685,2764,
"Tenterfield",183,2431,2611,
"The Hills",4119,96477,100595,
"Tweed",2143,40678,42819,
"Upper Hunter",224,6784,7009,
"Upper Lachlan",125,3997,4122,
"Uralla",115,2688,2806,
"Wagga Wagga",1397,33283,34679,
"Walcha",43,1379,1419,
"Walgett",120,1668,1791,
"Warren",52,1106,1160,
"Warrumbungle",221,3401,3619,
"Waverley",1472,38229,39699,
"Weddin",73,1487,1560,
"Wentworth",142,3174,3317,
"Willoughby",1731,37312,39043,
"Wingecarribee",733,23960,24693,
"Wollondilly",784,26528,27316,
"Wollongong",5023,98020,103044,
"Woollahra",963,28230,29195,
"Yass Valley",254,9001,9256,
"Unincorporated NSW",16,556,572,
"No usual address (NSW)",647,2511,3161,
"Migratory - Offshore - Shipping (NSW)",0,0,0,
"Total",189852,3684158,3874012,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
