Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,ACPR_Name,Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2021-22 Australian Government Funding
Braidwood Multi-Purpose Service,77 Monkittee Street,,BRAIDWOOD,NSW,2622,Southern Highlands,Multi-Purpose Service,27,2,,Southern NSW Local Health District,State Government,Inner Regional Australia,-35.44276381,149.8054073,"$1,737,104.45 "
Dellacourt,42 Nicholson Place,,WEST ALBURY,NSW,2640,Riverina/Murray,Residential,122,,,Lutheran Aged Care Albury,Charitable,Inner Regional Australia,-36.07540064,146.8908956,"$7,498,615.55 "
Brewarrina Multi-Purpose Service,56 Doyle Street,,BREWARRINA,NSW,2839,Orana Far West,Multi-Purpose Service,12,4,,Western NSW Local Health District,State Government,Very Remote Australia,-29.961591,146.864313,"$1,167,062.05 "
BaptistCare Maranoa Centre - Alstonville,15 The Avenue,,ALSTONVILLE,NSW,2477,Far North Coast,Residential,90,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-28.8407184,153.435638,"$6,467,621.48 "
Urana Multi-Purpose Service,127-129 Princess Street,,URANA,NSW,2645,Riverina/Murray,Multi-Purpose Service,19,,,Murrumbidgee Local Health District,State Government,Outer Regional Australia,-35.325391,146.267697,"$1,328,695.81 "
St Basil's Annandale,252 Johnston Street,,ANNANDALE,NSW,2038,Inner West,Residential,83,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.87589048,151.1727327,"$4,638,912.49 "
Baradine Multi-Purpose Service,5-9 Macquarie Street,,BARADINE,NSW,2396,Orana Far West,Multi-Purpose Service,14,3,,Western NSW Local Health District,State Government,Remote Australia,-30.945519,149.067008,"$1,219,231.50 "
Autumn Lodge Butler Street,50 Butler Street,,ARMIDALE,NSW,2350,New England,Residential,64,,,Autumn Lodge,Community Based,Inner Regional Australia,-30.503834,151.65837,"$3,795,959.99 "
Macquarie Lodge Aged Care Plus Centre,171 Wollongong Road,,ARNCLIFFE,NSW,2205,South East Sydney,Residential,130,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,-33.93965582,151.1348558,"$9,509,797.28 "
A H Orr Lodge,27 Clissold Street,,ASHFIELD,NSW,2131,Inner West,Residential,60,,,Ashfield Baptist Homes Ltd,Religious,Major Cities of Australia,-33.89495522,151.1258414,"$3,915,819.48 "
Urbenville Multi-Purpose Service,45 Beaury Street,,URBENVILLE,NSW,2475,New England,Multi-Purpose Service,19,6,,Northern NSW Local Health District,State Government,Outer Regional Australia,-28.47155531,152.5432704,"$1,399,009.41 "
Ashfield Terrace Care Community,8-10 Clissold Street,,ASHFIELD,NSW,2131,Inner West,Residential,135,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.89595,151.127894,"$9,027,452.37 "
Dorrigo Multi-Purpose Service,14 Beech Street,,DORRIGO,NSW,2453,Mid North Coast,Multi-Purpose Service,21,6,,Mid North Coast Local Health District,State Government,Outer Regional Australia,-30.340795,152.713811,"$1,505,409.75 "
Crowley Retirement Village,154 Cherry Street,,BALLINA,NSW,2478,Far North Coast,Residential,71,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,-28.85368951,153.5693841,"$5,051,598.50 "
Warren Multi-Purpose Service,Dr Kater Drive,,WARREN,NSW,2824,Orana Far West,Multi-Purpose Service,32,4,,Western NSW Local Health District,State Government,Outer Regional Australia,-31.693977,147.836194,"$2,053,293.00 "
Tumbarumba Multi-Purpose Service,4 Mitchell Street,,TUMBARUMBA,NSW,2653,Riverina/Murray,Multi-Purpose Service,42,10,,Murrumbidgee Local Health District,State Government,Outer Regional Australia,-35.77979811,148.0055303,"$2,578,407.77 "
Murray Haven Hostel,98 Punt Road,,BARHAM,NSW,2732,Riverina/Murray,Residential,55,,,Murray Haven Homes Limited,Community Based,Outer Regional Australia,-35.62314526,144.1331867,"$3,004,465.18 "
Delegate Multi-Purpose Service,15 Craigie Street,,DELEGATE,NSW,2633,Southern Highlands,Multi-Purpose Service,10,4,,Southern NSW Local Health District,State Government,Outer Regional Australia,-37.044992,148.945673,"$777,993.51 "
Richardson House,24 Gotha Street,,BARRABA,NSW,2347,New England,Residential,21,,,Barraba and District Retirement Homes Association Incorporated,Community Based,Outer Regional Australia,-30.38285943,150.6051632,"$1,300,827.27 "
